[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: java.lang.ArrayIndexOutOfBoundsException: 1
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.config.Configuration.readConfig(Configuration.java:288)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.config.Config.init(Config.java:22)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.Main.setupWindow(Main.java:34)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.Game.init0(Game.java:53)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.Game.main(Game.java:156)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.Main.main(Main.java:102)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: java.net.BindException: Address already in use
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at sun.nio.ch.Net.bind0(Native Method)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at sun.nio.ch.Net.bind(Net.java:433)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at sun.nio.ch.Net.bind(Net.java:425)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at sun.nio.ch.ServerSocketChannelImpl.bind(ServerSocketChannelImpl.java:223)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.channel.socket.nio.NioServerSocketChannel.doBind(NioServerSocketChannel.java:128)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.channel.AbstractChannel$AbstractUnsafe.bind(AbstractChannel.java:554)
[00:00:22] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.channel.DefaultChannelPipeline$HeadContext.bind(DefaultChannelPipeline.java:1258)
[00:00:23] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.channel.AbstractChannelHandlerContext.invokeBind(AbstractChannelHandlerContext.java:501)
[00:00:23] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.channel.AbstractChannelHandlerContext.bind(AbstractChannelHandlerContext.java:486)
[00:00:23] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.channel.DefaultChannelPipeline.bind(DefaultChannelPipeline.java:980)
[00:00:23] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.channel.AbstractChannel.bind(AbstractChannel.java:250)
[00:00:23] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.bootstrap.AbstractBootstrap$2.run(AbstractBootstrap.java:365)
[00:00:23] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.util.concurrent.AbstractEventExecutor.safeExecute(AbstractEventExecutor.java:163)
[00:00:23] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.util.concurrent.SingleThreadEventExecutor.runAllTasks(SingleThreadEventExecutor.java:403)
[00:00:23] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:462)
[00:00:23] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.util.concurrent.SingleThreadEventExecutor$5.run(SingleThreadEventExecutor.java:858)
[00:00:23] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at io.netty.util.concurrent.DefaultThreadFactory$DefaultRunnableDecorator.run(DefaultThreadFactory.java:138)
[00:00:23] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at java.lang.Thread.run(Thread.java:745)
