[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: java.lang.ExceptionInInitializerError
[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.util.Debug.addDebugObjects(Debug.java:45)
[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.Main.init(Main.java:84)
[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.Game.init0(Game.java:62)
[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.Game.main(Game.java:156)
[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.Main.main(Main.java:102)
[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: Caused by: java.lang.ArrayIndexOutOfBoundsException: 4
[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.model.Model.<init>(Model.java:73)
[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.model.Model.<init>(Model.java:85)
[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.model.OBJParser.loadOBJ(OBJParser.java:120)
[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	at com.github.hyfloac.jglengine.reference.Models.<clinit>(Models.java:11)
[00:00:01] [DefaultLogger:ERR] [java.lang.ThreadGroup]: 	... 5 more
